Date,Year,Month,Open,High,Low,Close,Volume,Return_%
2016-08-01 00:00:00+08:00,2016,8,52.34,53.88,51.13,52.54,95167000,
2016-09-01 00:00:00+08:00,2016,9,52.34,53.88,51.06,52.61,76740000,0.13
2016-10-01 00:00:00+08:00,2016,10,52.14,57.85,52.14,57.45,129841000,9.21
2016-11-01 00:00:00+08:00,2016,11,56.58,61.22,55.90,61.08,164691000,6.32
2016-12-01 00:00:00+08:00,2016,12,61.22,62.23,57.92,60.01,124173000,-1.76
2017-01-01 00:00:00+08:00,2017,1,60.01,61.42,58.19,60.68,85139000,1.12
2017-02-01 00:00:00+08:00,2017,2,60.68,65.99,59.60,62.29,148811000,2.66
2017-03-01 00:00:00+08:00,2017,3,62.29,62.63,58.93,60.88,131549000,-2.27
2017-04-01 00:00:00+08:00,2017,4,60.88,63.17,60.88,61.02,113814000,0.22
2017-05-01 00:00:00+08:00,2017,5,61.02,61.69,58.93,60.34,139065000,-1.10
2017-06-01 00:00:00+08:00,2017,6,60.54,63.03,59.60,62.36,107092000,3.34
2017-07-01 00:00:00+08:00,2017,7,65.18,66.53,62.78,64.12,101531000,2.82
2017-08-01 00:00:00+08:00,2017,8,64.12,66.88,63.77,66.46,96067196,3.64
2017-09-01 00:00:00+08:00,2017,9,66.38,68.65,64.40,64.97,87597134,-2.24
2017-10-01 00:00:00+08:00,2017,10,65.25,67.23,64.47,65.04,79509218,0.11
2017-11-01 00:00:00+08:00,2017,11,65.11,66.38,64.12,64.12,100939461,-1.41
2017-12-01 00:00:00+08:00,2017,12,64.76,69.92,64.76,69.85,123966958,8.94
2018-01-01 00:00:00+08:00,2018,1,69.85,73.96,68.79,73.25,162915320,4.86
2018-02-01 00:00:00+08:00,2018,2,73.25,73.96,67.59,73.25,123732267,0.00
2018-03-01 00:00:00+08:00,2018,3,71.83,76.43,70.77,73.60,150693102,0.48
2018-04-01 00:00:00+08:00,2018,4,73.60,76.43,71.83,73.96,105169664,0.48
2018-05-01 00:00:00+08:00,2018,5,73.96,80.33,73.60,76.08,169624484,2.87
2018-06-01 00:00:00+08:00,2018,6,76.43,80.33,73.60,79.62,183375540,4.65
2018-07-01 00:00:00+08:00,2018,7,82.77,85.01,78.30,83.89,204920335,5.36
2018-08-01 00:00:00+08:00,2018,8,83.89,85.01,80.16,83.89,124329575,0.00
2018-09-01 00:00:00+08:00,2018,9,83.89,89.11,81.65,87.24,186664896,4.00
2018-10-01 00:00:00+08:00,2018,10,86.87,87.99,71.88,75.31,200209691,-13.68
2018-11-01 00:00:00+08:00,2018,11,74.94,77.18,73.75,74.57,126253307,-0.99
2018-12-01 00:00:00+08:00,2018,12,75.69,76.80,71.58,75.31,110272608,1.00
2019-01-01 00:00:00+08:00,2019,1,75.31,77.18,70.69,76.06,162180562,0.99
2019-02-01 00:00:00+08:00,2019,2,76.06,77.92,74.57,76.43,89648590,0.49
2019-03-01 00:00:00+08:00,2019,3,76.43,81.65,75.31,81.65,127135440,6.83
2019-04-01 00:00:00+08:00,2019,4,81.65,84.26,79.79,83.52,106290853,2.28
2019-05-01 00:00:00+08:00,2019,5,83.52,84.63,80.16,82.40,135639593,-1.34
2019-06-01 00:00:00+08:00,2019,6,82.02,85.75,80.91,85.38,108998195,3.62
2019-07-01 00:00:00+08:00,2019,7,90.31,90.70,78.53,78.92,164213680,-7.57
2019-08-01 00:00:00+08:00,2019,8,78.53,78.92,70.68,73.89,156923033,-6.37
2019-09-01 00:00:00+08:00,2019,9,73.50,78.92,73.19,74.21,112640377,0.43
2019-10-01 00:00:00+08:00,2019,10,75.07,77.43,72.48,76.80,102045645,3.49
2019-11-01 00:00:00+08:00,2019,11,76.80,78.06,74.99,76.33,100028684,-0.61
2019-12-01 00:00:00+08:00,2019,12,76.96,79.71,75.39,78.37,97698960,2.67
2020-01-01 00:00:00+08:00,2020,1,78.37,80.10,71.77,73.35,84459387,-6.41
2020-02-01 00:00:00+08:00,2020,2,72.25,76.02,71.22,71.46,108004333,-2.57
2020-03-01 00:00:00+08:00,2020,3,70.68,73.35,50.89,58.97,297759651,-17.47
2020-04-01 00:00:00+08:00,2020,4,59.05,69.10,58.42,69.03,186688032,17.04
2020-05-01 00:00:00+08:00,2020,5,69.03,69.03,64.79,65.18,239519990,-5.57
2020-06-01 00:00:00+08:00,2020,6,65.49,70.52,65.34,68.79,189595720,5.54
2020-07-01 00:00:00+08:00,2020,7,72.43,72.92,63.66,64.90,211440213,-5.65
2020-08-01 00:00:00+08:00,2020,8,64.90,67.96,63.91,64.66,102816522,-0.38
2020-09-01 00:00:00+08:00,2020,9,64.49,68.96,63.75,64.99,167084029,0.51
2020-10-01 00:00:00+08:00,2020,10,64.99,67.47,64.66,65.40,79751368,0.64
2020-11-01 00:00:00+08:00,2020,11,65.40,73.59,65.24,70.44,239400653,7.71
2020-12-01 00:00:00+08:00,2020,12,70.86,81.03,70.86,79.70,199024993,13.15
2021-01-01 00:00:00+08:00,2021,1,79.70,82.02,71.93,71.93,206440877,-9.75
2021-02-01 00:00:00+08:00,2021,2,71.93,83.51,71.60,80.61,173462481,12.07
2021-03-01 00:00:00+08:00,2021,3,80.61,88.88,79.46,83.51,249876605,3.59
2021-04-01 00:00:00+08:00,2021,4,83.92,92.60,82.43,87.64,255854567,4.95
2021-05-01 00:00:00+08:00,2021,5,87.64,93.43,75.40,85.57,312548057,-2.36
2021-06-01 00:00:00+08:00,2021,6,85.16,88.47,82.35,85.16,133598530,-0.48
2021-07-01 00:00:00+08:00,2021,7,86.79,91.45,83.40,84.50,179308158,-0.77
2021-08-01 00:00:00+08:00,2021,8,85.52,87.21,80.95,86.79,101207706,2.71
2021-09-01 00:00:00+08:00,2021,9,85.52,99.07,83.40,96.10,245440538,10.73
2021-10-01 00:00:00+08:00,2021,10,95.26,102.45,90.18,91.02,298495844,-5.29
2021-11-01 00:00:00+08:00,2021,11,91.87,93.14,85.94,86.79,217634655,-4.65
2021-12-01 00:00:00+08:00,2021,12,86.37,89.75,85.52,88.06,126191429,1.46
2022-01-01 00:00:00+08:00,2022,1,88.91,93.56,87.21,88.91,119466631,0.96
2022-02-01 00:00:00+08:00,2022,2,88.91,91.87,87.64,88.91,119724896,0.00
2022-03-01 00:00:00+08:00,2022,3,89.75,93.14,87.21,90.18,229979689,1.43
2022-04-01 00:00:00+08:00,2022,4,89.33,91.02,88.06,89.33,136297470,-0.94
2022-05-01 00:00:00+08:00,2022,5,89.33,91.02,85.10,88.91,174237169,-0.47
2022-06-01 00:00:00+08:00,2022,6,89.75,93.56,88.91,91.87,184534836,3.33
2022-07-01 00:00:00+08:00,2022,7,99.92,100.37,77.18,84.33,314833383,-8.21
2022-08-01 00:00:00+08:00,2022,8,84.33,86.81,81.95,83.51,137735333,-0.98
2022-09-01 00:00:00+08:00,2022,9,82.59,83.14,77.27,79.38,254713644,-4.94
2022-10-01 00:00:00+08:00,2022,10,78.47,80.85,71.59,76.17,211905139,-4.04
2022-11-01 00:00:00+08:00,2022,11,76.17,82.68,75.07,82.68,141574041,8.54
2022-12-01 00:00:00+08:00,2022,12,83.32,83.87,78.01,79.57,188864077,-3.77
2023-01-01 00:00:00+08:00,2023,1,79.57,82.87,78.47,81.86,83115704,2.88
2023-02-01 00:00:00+08:00,2023,2,81.95,84.06,80.76,83.32,81649689,1.79
2023-03-01 00:00:00+08:00,2023,3,82.32,84.88,80.67,84.15,112922363,0.99
2023-04-01 00:00:00+08:00,2023,4,84.15,86.53,83.23,86.07,104614817,2.29
2023-05-01 00:00:00+08:00,2023,5,86.07,86.44,83.69,86.26,155269973,0.21
2023-06-01 00:00:00+08:00,2023,6,90.38,91.06,82.32,82.32,187063390,-4.57
2023-07-01 00:00:00+08:00,2023,7,82.70,82.89,78.76,79.91,198920641,-2.92
2023-08-01 00:00:00+08:00,2023,8,80.30,81.35,75.88,76.36,156270403,-4.45
2023-09-01 00:00:00+08:00,2023,9,76.46,80.01,76.36,76.65,95352460,0.38
2023-10-01 00:00:00+08:00,2023,10,76.74,77.51,73.96,73.96,129222205,-3.51
2023-11-01 00:00:00+08:00,2023,11,73.96,78.76,73.67,77.61,126790308,4.94
2023-12-01 00:00:00+08:00,2023,12,77.61,77.99,75.21,76.07,88886949,-1.98
2024-01-01 00:00:00+08:00,2024,1,76.07,76.17,67.81,69.25,158675696,-8.96
2024-02-01 00:00:00+08:00,2024,2,69.64,71.46,68.58,68.87,68815389,-0.55
2024-03-01 00:00:00+08:00,2024,3,68.87,68.96,63.78,66.37,173446478,-3.63
2024-04-01 00:00:00+08:00,2024,4,66.66,69.54,64.16,65.79,159011721,-0.87
2024-05-01 00:00:00+08:00,2024,5,65.79,66.95,62.72,62.72,172130215,-4.67
2024-06-01 00:00:00+08:00,2024,6,62.91,63.11,54.17,55.23,361929606,-11.94
2024-07-01 00:00:00+08:00,2024,7,56.65,60.26,54.40,56.55,270500417,2.40
2024-08-01 00:00:00+08:00,2024,8,56.94,57.33,50.01,50.40,250231379,-10.88
