date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct,margin_amount_change
20260511,8876247,211317,484592746,2026-05-11,1170487539244,41790.06,41.40093164195418,0.0
20260512,9085010,211972,491194951,2026-05-12,1446228503722,41898.32,33.96385493273472,66.02205
20260513,9138866,228157,494418035,2026-05-13,1265792083975,41374.5,39.059972112273456,32.23084
20260514,9100431,229030,499134844,2026-05-14,1275384785248,41751.75,39.136019950476566,47.16809
20260515,9038698,231677,492797137,2026-05-15,1374865492241,41172.36,35.843298110330174,-63.37707
20260518,9149159,239437,501619604,2026-05-18,1042046645948,40891.82,48.137922227430856,88.22467
20260519,9076489,239205,496887083,2026-05-19,1151219413754,40175.56,43.16180539204997,-47.32521
20260520,9057024,244522,502079185,2026-05-20,1027552700623,40020.82,48.86164813693662,51.92102
20260521,9125858,262407,511154475,2026-05-21,1047623792398,41368.21,48.79179708490323,90.7529
20260522,9236393,257442,522289307,2026-05-22,1236888820897,42267.97,42.22605121624693,111.34832
20260525,9273748,232580,530476074,2026-05-25,1352710348031,43644.4,39.2157918191547,81.86767
20260526,9174570,228387,534592623,2026-05-26,1549710749032,43525.37,34.496284118434616,41.16549
20260527,9155800,241621,536269185,2026-05-27,1630077580758,44256.8,32.89838418307859,16.76562
20260528,9113201,248097,535029538,2026-05-28,1670718874089,43636.44,32.02391176024379,-12.39647
20260529,9309242,241804,556359646,2026-05-29,1916952445914,44732.94,29.023132377951537,213.30108
20260601,9391953,234867,565779103,2026-06-01,1611133989740,45337.91,35.116824957017,94.19457
20260602,9373187,260047,566970793,2026-06-02,1696398095158,45557.31,33.42203664448192,11.9169
20260603,9398973,259795,568395323,2026-06-03,1517535663789,46459.16,37.4551542057881,14.2453
20260604,9406062,269861,572635940,2026-06-04,1325597743625,45677.46,43.19831885305273,42.40617
20260605,9289946,260933,566649267,2026-06-05,1319821926499,45070.94,42.93376671678059,-59.86673
20260608,9066915,237429,551012201,2026-06-08,1216574603939,43502.78,45.29210121729848,-156.37066
20260609,9177018,216203,563876896,2026-06-09,1224062987846,44704.44,46.0660032693466,128.64695
20260610,9041627,219750,546811625,2026-06-10,1424069567256,43225.54,38.39781690255737,-170.65271
20260611,9073020,224344,549176982,2026-06-11,1338516691099,43149.46,41.028773541037715,23.65357
20260612,9088829,224946,557027949,2026-06-12,1169186958350,44169.04,47.64233341997746,78.50967
20260615,9195123,205177,571907094,2026-06-15,1115744351199,45396.99,51.25789732974385,148.79145
20260616,9180710,194525,571307649,2026-06-16,1262185518120,45809.19,45.263365868034306,-5.99445
20260617,9306162,191375,583911936,2026-06-17,1154595951473,45877.39,50.572837645503796,126.04287
20260618,9345247,204357,593046547,2026-06-18,1606195402305,46465.2,36.92244082811703,91.34611
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,39.91518817276763,119.95044
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,35.51452993412658,-111.12454
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,39.46965621306529,135.27134
20260625,9512447,199161,611000560,2026-06-25,1368076901597,46255.26,44.66127300934322,35.44289
20260626,9328374,203932,590925882,2026-06-26,1672832488417,44571.76,35.32486881332587,-200.74678
20260629,9386112,205287,594229687,2026-06-29,1045439448015,44999.9,56.840182195944266,33.03805
20260630,9435456,194887,611652207,2026-06-30,1266062228020,46125.91,48.31138576470806,174.2252
20260701,9414925,196392,609502407,2026-07-01,1367817795171,47018.99,44.56020452079307,-21.498
20260702,9529998,200271,620837289,2026-07-02,1083583417368,46744.16,57.29483111766327,113.34882
20260703,9618551,200370,630812485,2026-07-03,1078028137102,46780.62,58.515400784971746,99.75196
20260706,9579335,209010,631344856,2026-07-06,1064431906064,46556.39,59.312845885515934,5.32371
20260707,9531735,213844,610945256,2026-07-07,1228119421876,45479.11,49.746404552967455,-203.996
20260708,9590605,205830,613815725,2026-07-08,1004560446696,45734.41,61.10291590902671,28.70469
20260709,9614955,203714,619648244,2026-07-09,996789429935,45354.61,62.16440758610441,58.32519
20260713,9602554,203238,618299040,2026-07-13,1067662107060,45380.52,57.911490527897236,-13.49204
20260714,9465644,180712,604034106,2026-07-14,1245206538568,44737.95,48.5087483313929,-142.64934
20260715,9519727,173131,615368175,2026-07-15,1024385500649,45631.59,60.071933330775686,113.34069
20260716,9513579,176622,615575992,2026-07-16,933180942503,45624.98,65.96534112118573,2.07817
20260717,9348875,236300,587962513,2026-07-17,1333156652944,42671.27,44.10303258072536,-276.13479
20260720,9270939,210862,569035788,2026-07-20,1041457434398,42449.7,54.6384104818382,-189.26725
