date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct
20260601,9391953,234867,565779103,2026-06-01,1611133989740,45337.91,35.116824957017
20260602,9373187,260047,566970793,2026-06-02,1696398095158,45557.31,33.42203664448192
20260603,9398973,259795,568395323,2026-06-03,1517535663789,46459.16,37.4551542057881
20260604,9406062,269861,572635940,2026-06-04,1325597743625,45677.46,43.19831885305273
20260605,9289946,260933,566649267,2026-06-05,1319821926499,45070.94,42.93376671678059
20260608,9066915,237429,551012201,2026-06-08,1216574603939,43502.78,45.29210121729848
20260609,9177018,216203,563876896,2026-06-09,1224062987846,44704.44,46.0660032693466
20260610,9041627,219750,546811625,2026-06-10,1424069567256,43225.54,38.39781690255737
20260611,9073020,224344,549176982,2026-06-11,1338516691099,43149.46,41.028773541037715
20260612,9088829,224946,557027949,2026-06-12,1169186958350,44169.04,47.64233341997746
20260615,9195123,205177,571907094,2026-06-15,1115744351199,45396.99,51.25789732974385
20260616,9180710,194525,571307649,2026-06-16,1262185518120,45809.19,45.263365868034306
20260617,9306162,191375,583911936,2026-06-17,1154595951473,45877.39,50.572837645503796
20260618,9345247,204357,593046547,2026-06-18,1606195402305,46465.2,36.92244082811703
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,39.91518817276763
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,35.51452993412658
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,39.46965621306529
20260625,9512447,199161,611000560,2026-06-25,1368076901597,46255.26,44.66127300934322
20260626,9328374,203932,590925882,2026-06-26,1672832488417,44571.76,35.32486881332587
20260629,9386112,205287,594229687,2026-06-29,1045439448015,44999.9,56.840182195944266
