date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct,margin_amount_change,margin_maintenance_ratio
20260601,9391953,234867,565779103,2026-06-01,1611133989740,45337.91,35.116824957017,0.0,177.02
20260602,9373187,260047,566970793,2026-06-02,1696398095158,45557.31,33.42203664448192,11.9169,175.73
20260603,9398973,259795,568395323,2026-06-03,1517535663789,46459.16,37.4551542057881,14.2453,174.35
20260604,9406062,269861,572635940,2026-06-04,1325597743625,45677.46,43.19831885305273,42.40617,173.4
20260605,9289946,260933,566649267,2026-06-05,1319821926499,45070.94,42.93376671678059,-59.86673,173.21
20260608,9066915,237429,551012201,2026-06-08,1216574603939,43502.78,45.29210121729848,-156.37066,174.01
20260609,9177018,216203,563876896,2026-06-09,1224062987846,44704.44,46.0660032693466,128.64695,173.33
20260610,9041627,219750,546811625,2026-06-10,1424069567256,43225.54,38.39781690255737,-170.65271,173.33
20260611,9073020,224344,549176982,2026-06-11,1338516691099,43149.46,41.028773541037715,23.65357,173.31
20260612,9088829,224946,557027949,2026-06-12,1169186958350,44169.04,47.64233341997746,78.50967,172.6
20260615,9195123,205177,571907094,2026-06-15,1115744351199,45396.99,51.25789732974385,148.79145,171.29
20260616,9180710,194525,571307649,2026-06-16,1262185518120,45809.19,45.263365868034306,-5.99445,170.37
20260617,9306162,191375,583911936,2026-06-17,1154595951473,45877.39,50.572837645503796,126.04287,169.28
20260618,9345247,204357,593046547,2026-06-18,1606195402305,46465.2,36.92244082811703,91.34611,168.09
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,39.91518817276763,119.95044,166.44
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,35.51452993412658,-111.12454,165.34
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,39.46965621306529,135.27134,164.23
20260625,9512447,199161,611000560,2026-06-25,1368076901597,46255.26,44.66127300934322,35.44289,163.46
20260626,9328374,203932,590925882,2026-06-26,1672832488417,44571.76,35.32486881332587,-200.74678,163.59
20260629,9386112,205287,594229687,2026-06-29,1045439448015,44999.9,56.840182195944266,33.03805,163.46
20260630,9435456,194887,611652207,2026-06-30,1266062228020,46125.91,48.31138576470806,174.2252,162.68
20260701,9414925,196392,609502407,2026-07-01,1367817795171,47018.99,44.56020452079307,-21.498,162.38
20260702,9529998,200271,620837289,2026-07-02,1083583417368,46744.16,57.29483111766327,113.34882,161.75
20260703,9618551,200370,630812485,2026-07-03,1078028137102,46780.62,58.515400784971746,99.75196,161.2
20260706,9579335,209010,631344856,2026-07-06,1064431906064,46556.39,59.312845885515934,5.32371,160.62
20260707,9531735,213844,610945256,2026-07-07,1228119421876,45479.11,49.746404552967455,-203.996,160.94
20260708,9590605,205830,613815725,2026-07-08,1004560446696,45734.41,61.10291590902671,28.70469,160.87
20260709,9614955,203714,619648244,2026-07-09,996789429935,45354.61,62.16440758610441,58.32519,160.61
20260713,9602554,203238,618299040,2026-07-13,1067662107060,45380.52,57.911490527897236,-13.49204,160.34
20260714,9465644,180712,604034106,2026-07-14,1245206538568,44737.95,48.5087483313929,-142.64934,160.9
20260715,9519727,173131,615368175,2026-07-15,1024385500649,45631.59,60.071933330775686,113.34069,161.05
20260716,9513579,176622,615575992,2026-07-16,933180942503,45624.98,65.96534112118573,2.07817,161.01
20260717,9348875,236300,587962513,2026-07-17,1333156652944,42671.27,44.10303258072536,-276.13479,
20260720,9270939,210862,569035788,2026-07-20,1041457434398,42449.7,54.6384104818382,-189.26725,165.51
20260721,9359440,212614,576496237,2026-07-21,866251695004,44232.87,66.55066192942202,74.60449,171.9
20260722,9354572,206549,582823505,2026-07-22,1025958396323,44825.78,56.80771336233707,63.27268,170.7
20260723,9349915,208647,582626351,2026-07-23,930612067733,44850.81,62.606790863919905,-1.97154,163.67
20260724,9354810,204754,577059537,2026-07-24,827129512226,43654.84,69.76652730562076,-55.66814,163.79
20260727,9272006,186233,568663454,2026-07-27,747647200740,43634.19,76.06040033817462,-83.96083,152.6
20260728,9096008,219259,545534811,2026-07-28,872574999972,41603.36,62.520105551672415,-231.28643,144.87
20260729,8764868,217485,507011173,2026-07-29,1149185294964,40039.18,44.119183844575986,-385.23638,169.58
20260730,8701432,204214,493867294,2026-07-30,1146937829185,39933.3,43.059639453250576,-131.43879,
20260731,9144379,188324,507462771,2026-07-31,887732405136,43119.75,57.16393454424558,135.95477,
20260803,9120700,185322,514755393,2026-08-03,885506043091,43386.41,58.131211753582654,72.92622,171.27
20260804,9032013,196970,521134665,2026-08-04,1087045875836,43360.66,47.94044819858388,63.79272,177.08
20260805,8901190,197222,523492321,2026-08-05,1200212510521,44611.6,43.61663592164669,23.57656,
20260806,8958262,191897,532804981,2026-08-06,974054973424,44396.7,54.69968282458257,93.1266,175.35
20260807,8986438,192740,537664510,2026-08-07,850815189087,44225.91,63.1940422428238,48.59529,
20260810,9003223,202632,545295561,2026-08-10,880440723750,44928.76,61.93438652831283,76.31051,
