date,margin_balance,short_balance,margin_amount,date_obj
20260601,9391953,234867,565779103,2026-06-01
20260602,9373187,260047,566970793,2026-06-02
20260603,9398973,259795,568395323,2026-06-03
20260604,9406062,269861,572635940,2026-06-04
20260605,9289946,260933,566649267,2026-06-05
20260608,9066915,237429,551012201,2026-06-08
20260609,9177018,216203,563876896,2026-06-09
20260610,9041627,219750,546811625,2026-06-10
20260611,9073020,224344,549176982,2026-06-11
20260612,9088829,224946,557027949,2026-06-12
20260615,9195123,205177,571907094,2026-06-15
20260616,9180710,194525,571307649,2026-06-16
20260617,9306162,191375,583911936,2026-06-17
20260618,9345247,204357,593046547,2026-06-18
20260622,9462366,202267,605041591,2026-06-22
20260623,9300664,204255,593929137,2026-06-23
20260624,9469030,202194,607456271,2026-06-24
