date,close,balance_lots,WACP,est_margin_yi,collateral_yi,maintenance_ratio_pct,method,sample_size,is_full_window,code,name
20260528,17.600000381469727,8500,17.6,0.9,0.9,100.0,net_buy,1,False,6153,嘉聯益
20260529,17.899999618530273,8556,17.65,0.91,0.92,101.41,net_buy,2,False,6153,嘉聯益
20260601,18.5,8304,17.65,0.88,0.92,104.8,net_buy,3,False,6153,嘉聯益
20260602,19.0,8272,17.65,0.88,0.94,107.64,net_buy,4,False,6153,嘉聯益
20260603,19.600000381469727,8138,17.65,0.86,0.96,111.04,net_buy,5,False,6153,嘉聯益
20260604,18.450000762939453,8230,17.83,0.88,0.91,103.49,net_buy,6,False,6153,嘉聯益
20260605,18.5,8261,17.87,0.89,0.92,103.5,net_buy,7,False,6153,嘉聯益
20260608,20.350000381469727,9561,19.72,1.13,1.17,103.21,net_buy,8,False,6153,嘉聯益
20260609,20.5,8789,19.72,1.04,1.08,103.97,net_buy,9,False,6153,嘉聯益
20260610,20.75,9823,20.1,1.18,1.22,103.23,net_buy,10,False,6153,嘉聯益
20260611,20.299999237060547,10184,20.12,1.23,1.24,100.88,net_buy,11,False,6153,嘉聯益
20260612,22.25,11260,20.67,1.4,1.5,107.66,net_buy,12,False,6153,嘉聯益
20260615,24.450000762939453,12529,21.54,1.62,1.84,113.5,net_buy,13,False,6153,嘉聯益
20260616,23.100000381469727,11711,21.54,1.51,1.62,107.24,net_buy,14,False,6153,嘉聯益
20260617,24.399999618530273,12686,21.97,1.67,1.86,111.05,net_buy,15,False,6153,嘉聯益
20260618,24.450000762939453,12315,21.97,1.62,1.81,111.27,net_buy,16,False,6153,嘉聯益
20260622,23.950000762939453,13823,22.35,1.85,1.99,107.17,net_buy,17,False,6153,嘉聯益
20260623,24.299999237060547,14238,22.44,1.92,2.08,108.27,net_buy,18,False,6153,嘉聯益
20260624,23.25,13886,22.44,1.87,1.94,103.59,net_buy,19,False,6153,嘉聯益
20260625,22.649999618530273,13306,22.44,1.79,1.81,100.92,net_buy,20,False,6153,嘉聯益
20260626,21.75,13204,22.44,1.78,1.72,96.91,net_buy,21,False,6153,嘉聯益
20260629,20.799999237060547,12848,22.44,1.73,1.6,92.68,net_buy,22,False,6153,嘉聯益
20260630,21.450000762939453,13189,22.4,1.77,1.7,95.74,net_buy,23,False,6153,嘉聯益
20260701,20.299999237060547,13260,22.39,1.78,1.62,90.68,net_buy,24,False,6153,嘉聯益
20260702,20.75,13250,22.39,1.78,1.65,92.69,net_buy,25,False,6153,嘉聯益
20260703,20.399999618530273,13458,22.34,1.8,1.65,91.31,net_buy,26,False,6153,嘉聯益
20260706,20.549999237060547,13583,22.32,1.82,1.67,92.08,net_buy,27,False,6153,嘉聯益
20260707,19.850000381469727,14019,22.2,1.87,1.67,89.4,net_buy,28,False,6153,嘉聯益
20260708,20.049999237060547,14226,22.16,1.89,1.71,90.48,net_buy,29,False,6153,嘉聯益
20260709,19.700000762939453,14273,22.15,1.9,1.69,88.95,net_buy,30,True,6153,嘉聯益
20260713,19.049999237060547,14203,22.27,1.9,1.62,85.52,net_buy,30,True,6153,嘉聯益
20260714,18.450000762939453,14093,22.3,1.89,1.56,82.73,net_buy,30,True,6153,嘉聯益
20260715,18.700000762939453,14060,22.3,1.88,1.58,83.85,net_buy,30,True,6153,嘉聯益
20260716,18.200000762939453,14217,22.23,1.9,1.55,81.86,net_buy,30,True,6153,嘉聯益
